product_id,category,subcategory,brand,season_tag,mrp,profit_margin_pct,supplier_name,stock_level
1,Electronics,Mobile,Nova,Festive,87702.95,23.77,Lata LLC,3150
2,Electronics,TV,PrimeTech,Festive,35534.8,27.0,"Acharya, Khare and Naik",3012
3,Electronics,Laptop,Nova,Festive,5976.01,12.98,"Sagar, Mitter and Shan",2420
4,Electronics,TV,UrbanX,Festive,104044.8,18.3,"Varghese, Ramakrishnan and Basak",3764
5,Electronics,Mobile,UrbanX,Festive,44736.63,12.33,Narayanan Inc,2237
6,Electronics,TV,PrimeTech,Festive,76379.91,23.69,Mannan Group,2055
7,Electronics,Laptop,Zenith,Festive,45844.93,39.63,"Karan, Soman and Banik",4612
8,Electronics,Laptop,BharatPro,Festive,101220.8,32.16,"Bail, Rajan and Dugar",1926
9,Electronics,TV,BharatPro,Festive,48439.19,7.32,Dhaliwal-Pillai,4696
10,Electronics,Mobile,UrbanX,Festive,78824.92,18.85,"Bhatti, Babu and Borra",3808
11,Electronics,Laptop,BharatPro,Festive,17185.82,31.07,"Shankar, Shanker and Toor",4465
12,Electronics,Mobile,PrimeTech,Festive,51697.84,25.42,Nath Ltd,3015
13,Electronics,Laptop,UrbanX,Festive,61388.39,8.18,"Arya, Sengupta and Kashyap",435
14,Electronics,TV,UrbanX,Festive,75479.8,32.72,"Sastry, Mittal and Contractor",3508
15,Electronics,TV,Zenith,Festive,46103.5,39.86,Sha-Baria,4384
16,Electronics,Mobile,PrimeTech,Festive,103363.17,5.4,Deep PLC,988
17,Electronics,Mobile,BharatPro,Festive,13830.48,20.22,"Kuruvilla, Chanda and Shere",3766
18,Electronics,TV,BharatPro,Festive,116640.63,31.67,Wason-Shukla,4208
19,Electronics,TV,BharatPro,Festive,101079.49,22.77,Vasa-Bora,1679
20,Electronics,Laptop,BharatPro,Festive,91620.04,23.88,Kanda LLC,4394
21,Electronics,TV,PrimeTech,Festive,39236.65,5.68,Kala Group,3023
22,Electronics,Mobile,UrbanX,Festive,7422.06,35.73,Ravi and Sons,695
23,Electronics,TV,Zenith,Festive,98014.78,39.23,Cherian-Morar,4413
24,Electronics,Laptop,UrbanX,Festive,79340.22,38.14,Mahajan-Madan,1402
25,Electronics,Mobile,PrimeTech,Festive,104755.75,19.81,Raval-Krish,1785
26,Electronics,Laptop,BharatPro,Festive,48179.58,28.51,Divan-Bali,3109
27,Electronics,Smart Watch,PrimeTech,All Season,54452.59,13.68,Sheth-Apte,574
28,Electronics,Mobile,Nova,Festive,70802.89,13.05,Krishnan-Ray,1854
29,Electronics,TV,Nova,Festive,85086.99,7.06,Bava PLC,602
30,Electronics,TV,BharatPro,Festive,8967.45,13.33,"Ratta, Ram and Soni",4026
31,Electronics,Laptop,PrimeTech,Festive,16311.27,37.74,"Venkataraman, Bains and Raja",4727
32,Electronics,Smart Watch,UrbanX,All Season,94262.02,33.26,Tata PLC,1609
33,Electronics,TV,Nova,Festive,79248.44,17.4,"Prashad, Khalsa and Nagar",3417
34,Electronics,Smart Watch,Nova,All Season,80967.06,39.45,Jha-Dey,856
35,Electronics,TV,Zenith,Festive,87521.52,33.02,Dasgupta-Bhandari,945
36,Electronics,Laptop,UrbanX,Festive,23229.96,20.7,Tank-Wagle,3506
37,Electronics,Laptop,BharatPro,Festive,55784.05,35.61,"Joshi, Kumar and Srinivasan",667
38,Electronics,Smart Watch,PrimeTech,All Season,12200.09,27.83,Subramanian-Hayre,4478
39,Electronics,TV,Nova,Festive,111200.85,34.7,Hegde-Vora,1412
40,Electronics,Smart Watch,Zenith,All Season,58022.33,35.26,Bali-Batta,530
41,Electronics,Laptop,Zenith,Festive,757.57,18.66,"Bhatt, Mander and Pant",3777
42,Electronics,Mobile,Zenith,Festive,83742.68,30.57,Sama Ltd,4602
43,Electronics,Smart Watch,UrbanX,All Season,23192.8,12.62,Krishnan-Bahri,529
44,Electronics,TV,BharatPro,Festive,7331.25,25.45,Vohra and Sons,4169
45,Electronics,Laptop,Nova,Festive,115313.08,7.8,"Bhavsar, Saxena and Swaminathan",1572
